fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-09-05,Reporte ADP De Empleo,54.00,106.00,Mil,Aug 2025
2025-09-05,Recortes de empleo Challenger,85979.00,62075.00,Personas,Aug 2025
2025-09-05,Peticiones extendidas de desempleo,1940.00,1944.00,Mil,Aug 2025
2025-09-05,Peticiones por desempleo,237.00,229.00,Mil,Aug 2025
2025-09-05,Jolts Vacantes de Empleo,7181.00,7357.00,Mil,Jul 2025
2025-09-05,Nóminas no agrícolas,73.00,14.00,Mil,Jul 2025
2025-09-05,Tasa de desempleo,4.20,4.10,Por Ciento,Jul 2025
