Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T414,52455,2025-11-26
T115,46546,2025-11-26
T215,49124,2025-11-26
T315,48654,2025-11-26
T415,50092,2025-11-26
T116,45249,2025-11-26
T216,50066,2025-11-26
T316,51108,2025-11-26
T416,52793,2025-11-26
T117,50525,2025-11-26
T217,54231,2025-11-26
T317,56267,2025-11-26
T417,58711,2025-11-26
T118,54393,2025-11-26
T218,58686,2025-11-26
T318,57255,2025-11-26
T418,59553,2025-11-26
T119,54629,2025-11-26
T219,59592,2025-11-26
T319,59985,2025-11-26
T419,62311,2025-11-26
T120,53020,2025-11-26
T220,41524,2025-11-26
T320,53987,2025-11-26
T420,61192,2025-11-26
T121,55168,2025-11-26
T221,57264,2025-11-26
T321,56770,2025-11-26
T421,60695,2025-11-26
T122,57566,2025-11-26
T222,62187,2025-11-26
T322,62047,2025-11-26
T422,66746,2025-11-26
T123,61671,2025-11-26
T223,68021,2025-11-26
T323,70248,2025-11-26
T423,72555,2025-11-26
T124,66444,2025-11-26
T224,73455,2025-11-26
T324,75900,2025-11-26
T424,80100,2025-11-26
T125,74261,2025-11-26
T225,81094,2025-11-26
T325,86716,2025-11-26
T194,9473,2025-11-27
T294,10607,2025-11-27
T394,10668,2025-11-27
T494,11972,2025-11-27
T195,12096,2025-11-27
T295,13191,2025-11-27
T395,13040,2025-11-27
T495,13080,2025-11-27
T196,12761,2025-11-27
T296,13973,2025-11-27
T396,13259,2025-11-27
T496,13419,2025-11-27
T197,12964,2025-11-27
T297,14645,2025-11-27
T397,14303,2025-11-27
T497,14391,2025-11-27
T198,13660,2025-11-27
T298,14407,2025-11-27
T398,13381,2025-11-27
T498,12584,2025-11-27
T199,11570,2025-11-27
T299,12667,2025-11-27
T399,11934,2025-11-27
T499,12554,2025-11-27
T100,12431,2025-11-27
T200,13242,2025-11-27
T300,12428,2025-11-27
T400,12331,2025-11-27
T101,11854,2025-11-27
T201,13160,2025-11-27
T301,12743,2025-11-27
T401,13292,2025-11-27
T102,12765,2025-11-27
T202,14499,2025-11-27
T302,12987,2025-11-27
T402,13738,2025-11-27
T103,13787,2025-11-27
T203,15496,2025-11-27
T303,14335,2025-11-27
T403,14928,2025-11-27
T104,15233,2025-11-27
T204,17316,2025-11-27
T304,16045,2025-11-27
T404,17561,2025-11-27
T105,17283,2025-11-27
T205,19655,2025-11-27
T305,18248,2025-11-27
T405,19055,2025-11-27
T106,19607,2025-11-27
T206,22585,2025-11-27
T306,22112,2025-11-27
T406,23263,2025-11-27
T107,23004,2025-11-27
T207,25423,2025-11-27
T307,25613,2025-11-27
T407,28347,2025-11-27
T108,28393,2025-11-27
T208,32426,2025-11-27
T308,31074,2025-11-27
T408,29231,2025-11-27
T109,26497,2025-11-27
T209,30251,2025-11-27
T309,31319,2025-11-27
T409,34627,2025-11-27
T110,33322,2025-11-27
T210,37346,2025-11-27
T310,38148,2025-11-27
T410,40567,2025-11-27
T111,39062,2025-11-27
T211,42338,2025-11-27
T311,43731,2025-11-27
T411,45679,2025-11-27
T112,44197,2025-11-27
T212,47455,2025-11-27
T312,49457,2025-11-27
T412,52127,2025-11-27
T113,49240,2025-11-27
T213,51359,2025-11-27
T313,50034,2025-11-27
T413,52454,2025-11-27
T114,48217,2025-11-27
T214,51385,2025-11-27
T314,52176,2025-11-27
T414,52455,2025-11-27
T115,46546,2025-11-27
T215,49124,2025-11-27
T315,48654,2025-11-27
T415,50092,2025-11-27
T116,45249,2025-11-27
T216,50066,2025-11-27
T316,51108,2025-11-27
T416,52793,2025-11-27
