fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-08-05,Reporte ADP De Empleo,104.00,-23.00,Mil,Jul 2025
2025-08-05,Recortes de empleo Challenger,62075.00,47999.00,Personas,Jul 2025
2025-08-05,Peticiones extendidas de desempleo,1946.00,1946.00,Mil,Jul 2025
2025-08-05,Peticiones por desempleo,218.00,217.00,Mil,Jul 2025
2025-08-05,Jolts Vacantes de Empleo,7437.00,7712.00,Mil,Jun 2025
2025-08-05,Nóminas no agrícolas,73.00,14.00,Mil,Jul 2025
2025-08-05,Tasa de desempleo,4.20,4.10,Por Ciento,Jul 2025
